index,values,weights
0,61,75
1,12,91
2,76,138
3,69,137
4,140,121
5,6,48
6,24,106
7,92,69
8,129,59
9,106,22
10,82,99
11,115,82
12,92,156
13,42,96
14,59,86
15,31,78
16,91,135
17,102,148
18,54,77
19,142,76
20,82,91
21,54,36
22,76,119
23,59,32
24,136,44
25,86,70
26,3,156
27,1,67
28,33,41
29,158,145
30,96,131
31,6,25
32,66,52
33,121,89
34,33,129
35,151,80
36,124,38
37,153,60
38,78,25
39,107,75
40,67,59
41,150,59
42,130,135
43,105,19
44,58,89
45,146,61
46,2,110
47,76,28
48,47,48
49,119,58
50,6,124
51,114,114
52,108,92
53,22,142
54,62,100
55,84,118
56,23,146
57,53,103
58,131,14
59,126,22
60,71,73
61,91,88
62,70,103
63,48,158
64,22,1
65,101,104
66,17,59
67,124,117
68,15,140
69,131,57
70,26,85
71,86,114
72,113,114
73,45,87
74,10,59
75,97,44
76,2,1
77,8,109
78,80,38
79,8,22
80,110,21
81,115,40
82,115,134
83,135,106
84,19,2
85,3,138
86,102,117
87,15,23
88,55,23
89,20,44
90,96,154
91,97,23
92,35,52
93,130,87
94,135,32
95,124,49
96,105,25
97,51,127
98,60,15
99,46,104
100,84,68
101,156,15
102,65,79
103,31,151
104,30,26
105,155,22
106,140,148
107,38,94
108,61,158
109,55,124
110,105,17
111,49,125
112,146,5
113,156,132
114,97,73
115,36,44
116,70,14
117,66,37
118,102,81
119,85,75
120,28,159
121,48,142
122,66,55
123,44,115
124,93,105
125,90,26
126,65,52
127,89,58
128,109,54
129,43,94
130,96,37
131,12,130
132,128,56
133,93,14
134,37,144
135,74,38
136,58,75
137,89,12
138,15,77
139,66,30
140,88,4
141,55,145
142,36,70
143,110,103
144,118,132
145,142,88
146,18,144
147,35,138
148,35,109
149,24,102
150,91,121
151,71,86
152,16,123
153,128,87
154,11,92
155,38,142
156,35,31
157,76,8
158,120,36
159,9,37
160,103,20
161,13,1
162,20,67
163,104,144
164,99,39
165,67,114
166,97,11
167,152,136
168,30,135
169,69,153
170,58,160
171,133,66
172,108,80
173,61,142
174,135,24
175,66,13
176,31,46
177,108,90
178,144,44
179,88,71
180,99,86
181,55,73
182,160,93
183,102,83
184,19,17
185,12,140
186,42,157
187,95,157
188,38,20
189,81,159
190,137,84
191,26,153
192,123,103
193,61,63
194,117,79
195,60,115
196,130,56
197,75,49
198,85,139
199,110,5
200,99,62
201,17,130
202,81,63
203,155,30
204,74,98
205,64,56
206,105,78
207,48,108
208,132,102
209,20,46
210,58,99
211,102,143
212,142,104
213,71,147
214,154,83
215,107,13
216,43,22
217,160,57
218,136,89
219,68,85
220,97,30
221,134,65
222,13,101
223,151,106
224,29,146
225,58,144
226,127,77
227,5,6
228,158,81
229,104,8
230,97,124
231,83,31
232,105,159
233,158,121
234,75,53
235,136,73
236,82,39
237,149,94
238,81,34
239,60,77
240,87,68
241,38,108
242,90,10
243,21,51
244,23,51
245,62,80
246,38,97
247,158,24
248,118,104
249,146,128
250,40,136
251,32,50
252,83,21
253,138,115
254,30,88
255,110,105
256,32,41
257,52,28
258,117,79
259,78,74
260,121,125
261,134,83
262,70,35
263,124,137
264,8,46
265,127,4
266,45,10
267,141,41
268,86,68
269,93,100
270,126,105
271,50,68
272,76,147
273,36,67
274,12,116
275,98,156
276,22,85
277,84,123
278,69,85
279,58,146
280,132,133
281,90,7
282,105,156
283,78,35
284,33,19
285,35,4
286,139,145
287,154,126
288,45,52
289,154,21
290,54,146
291,155,53
292,158,93
293,72,30
294,129,10
295,155,111
296,50,104
297,121,160
298,32,42
299,143,60
300,92,120
301,120,109
302,3,138
303,98,33
304,85,53
305,71,65
306,9,51
307,123,51
308,87,58
309,94,96
310,144,116
311,130,83
312,128,58
313,117,54
314,84,146
315,86,152
316,117,59
317,63,11
318,124,130
319,39,1
320,119,21
321,148,94
322,19,138
323,100,15
324,62,30
325,41,68
326,148,118
327,106,106
328,30,45
329,156,19
330,18,127
331,123,10
332,18,9
333,22,13
334,64,140
335,80,156
336,53,149
337,142,85
338,17,56
339,50,148
340,62,37
341,146,11
342,143,75
343,120,38
344,8,61
345,112,65
346,111,111
347,91,21
348,86,158
349,70,98
350,4,44
351,61,157
352,154,130
353,111,128
354,129,154
355,127,31
356,11,126
357,132,39
358,7,117
359,73,67
360,119,31
361,26,70
362,50,27
363,150,76
364,132,84
365,46,130
366,47,57
367,131,6
368,37,1
369,151,95
370,5,52
371,147,60
372,96,132
373,96,24
374,117,18
375,148,16
376,39,87
377,96,138
378,124,9
379,132,61
380,118,126
381,105,91
382,58,40
383,136,143
384,76,100
385,36,153
386,116,26
387,73,33
388,5,1
389,140,155
390,144,117
391,42,51
392,134,83
393,6,74
394,122,85
395,125,38
396,62,20
397,85,122
398,81,43
399,72,56
400,90,71
401,54,105
402,155,87
403,115,86
404,67,85
405,100,135
406,43,118
407,63,22
408,83,25
409,88,74
410,86,84
411,106,125
412,6,138
413,149,142
414,125,42
415,149,97
416,73,70
417,130,122
418,86,109
419,8,14
420,93,150
421,116,153
422,138,150
423,46,109
424,11,42
425,47,96
426,123,140
427,46,21
428,107,59
429,56,156
430,50,153
431,19,115
432,129,147
433,28,113
434,108,25
435,10,138
436,151,152
437,75,123
438,43,5
439,2,84
440,86,41
441,34,121
442,72,100
443,151,31
444,136,79
445,97,58
446,105,75
447,97,30
448,145,7
449,111,67
450,4,27
451,49,155
452,93,51
453,64,61
454,143,135
455,125,93
456,87,154
457,55,19
458,55,73
459,46,66
460,46,142
461,58,101
462,30,91
463,10,31
464,89,35
465,20,137
466,48,153
467,33,47
468,112,103
469,18,7
470,49,105
471,106,113
472,133,7
473,131,36
474,157,11
475,135,62
476,26,30
477,26,72
478,23,48
479,68,40
480,118,41
481,151,69
482,10,9
483,10,62
484,50,146
485,10,31
486,93,147
487,40,39
488,138,84
489,134,81
490,22,144
491,127,46
492,32,98
493,135,117
494,59,68
495,125,126
496,7,126
497,126,89
498,35,100
499,89,158
500,1,125
501,79,55
502,39,6
503,21,110
504,82,145
505,38,94
506,77,151
507,40,44
508,75,130
509,119,117
510,34,140
511,65,38
512,59,150
513,9,139
514,48,152
515,114,16
516,51,11
517,134,43
518,120,74
519,87,53
520,16,109
521,147,129
522,39,8
523,58,116
524,140,58
525,12,105
526,89,113
527,124,33
528,43,41
529,8,46
530,87,123
531,20,34
532,141,145
533,108,98
534,139,89
535,6,24
536,7,149
537,142,1
538,95,66
539,71,130
540,84,70
541,127,57
542,159,42
543,10,5
544,26,160
545,67,115
546,119,131
547,154,84
548,159,98
549,70,44
550,54,103
551,53,67
552,143,136
553,133,93
554,71,91
555,21,26
556,137,93
557,93,20
558,103,75
559,81,135
560,51,124
561,108,101
562,149,67
563,55,1
564,142,101
565,74,36
566,39,158
567,1,70
568,68,141
569,159,20
570,123,129
571,85,150
572,58,34
573,156,75
574,76,156
575,4,40
576,141,131
577,64,49
578,126,159
579,98,116
580,68,52
581,125,111
582,22,150
583,57,8
584,70,109
585,5,105
586,69,29
587,48,157
588,139,23
589,30,87
590,52,122
591,103,76
592,152,21
593,21,74
594,17,59
595,24,146
596,7,74
597,105,151
598,9,27
