index,values,weights
0,121,159
1,5,8
2,144,156
3,59,127
4,118,98
5,73,110
6,27,148
7,1,36
8,73,121
9,84,23
10,29,13
11,124,140
12,128,124
13,96,107
14,66,22
15,141,16
16,90,49
17,141,87
18,1,155
19,137,52
20,5,97
21,135,24
22,67,113
23,93,148
24,78,151
25,139,79
26,92,72
27,149,50
28,134,31
29,65,12
30,137,12
31,11,44
32,12,154
33,34,106
34,125,20
35,71,117
36,21,113
37,79,139
38,15,76
39,124,111
40,156,119
41,69,101
42,28,81
43,111,5
44,153,77
45,119,67
46,115,118
47,61,1
48,117,73
49,112,8
50,27,7
51,130,26
52,51,122
53,104,22
54,139,11
55,34,106
56,47,5
57,90,110
58,2,111
59,9,91
60,91,23
61,18,107
62,33,106
63,147,86
64,111,25
65,81,70
66,71,2
67,44,62
68,10,134
69,158,100
70,160,135
71,143,74
72,128,73
73,157,59
74,139,109
75,138,9
76,119,160
77,154,147
78,108,19
79,115,74
80,46,128
81,90,8
82,153,92
83,132,48
84,107,119
85,150,140
86,73,8
87,121,44
88,157,68
89,71,60
90,118,135
91,147,7
92,120,89
93,159,37
94,99,34
95,115,20
96,107,126
97,156,69
98,146,92
99,151,110
