index,values,weights
0,8,128
1,36,18
2,135,29
3,78,128
4,79,149
5,49,121
6,157,122
7,75,11
8,25,134
9,109,8
10,132,40
11,59,80
12,156,12
13,93,123
14,29,130
15,26,126
16,48,99
17,74,93
18,28,50
19,146,97
20,123,128
21,128,129
22,154,43
23,151,56
24,87,42
25,10,27
26,88,124
27,133,84
28,77,108
29,123,56
30,16,134
31,93,59
32,49,116
33,31,50
34,70,77
35,43,134
36,126,79
37,4,23
38,62,18
39,10,130
40,75,105
41,2,145
42,54,108
43,159,64
44,32,134
45,124,13
46,82,25
47,73,116
48,13,120
49,74,143
50,83,137
51,1,57
52,75,8
53,78,69
54,33,55
55,124,145
56,36,127
57,114,69
58,32,68
59,120,107
60,117,56
61,19,47
62,119,60
63,53,58
64,35,120
65,119,155
66,68,149
67,113,62
68,22,46
69,117,140
70,51,64
71,80,139
72,145,118
73,144,67
74,107,159
75,68,131
76,64,98
77,3,113
78,72,31
79,149,146
80,8,93
81,153,87
82,38,23
83,12,96
84,154,145
85,52,33
86,91,133
87,120,130
88,114,138
89,96,6
90,13,81
91,51,67
92,94,30
93,90,80
94,91,50
95,82,135
96,111,43
97,53,5
98,93,49
99,133,5
100,75,34
101,131,84
102,85,137
103,132,28
104,11,93
105,71,27
106,22,120
107,112,29
108,4,115
109,18,127
110,34,3
111,128,21
112,125,53
113,56,80
114,91,37
115,102,88
116,111,13
117,1,86
118,49,71
119,149,20
120,40,57
121,106,29
122,45,25
123,97,103
124,7,65
125,36,124
126,97,23
127,11,70
128,26,58
129,126,68
130,28,66
131,141,131
132,17,2
133,12,16
134,142,143
135,2,151
136,81,115
137,160,158
138,147,18
139,33,60
140,18,135
141,63,77
142,140,71
143,73,126
144,44,45
145,71,40
146,131,24
147,149,90
148,20,134
149,40,45
150,67,114
151,137,5
152,158,106
153,40,52
154,140,148
155,42,135
156,132,32
157,120,40
158,37,48
159,18,130
160,75,64
161,84,124
162,27,135
163,57,102
164,121,28
165,90,26
166,21,4
167,16,26
168,73,42
169,7,156
170,81,13
171,43,142
172,38,75
173,160,52
174,103,18
175,2,36
176,106,94
177,102,140
178,6,38
179,50,18
180,42,88
181,136,126
182,81,77
183,117,86
184,43,80
185,139,18
186,15,35
187,25,17
188,72,67
189,92,56
190,90,77
191,12,107
192,123,123
193,141,10
194,136,31
195,34,147
196,142,80
197,137,70
198,160,16
199,120,13
200,73,31
201,76,116
202,137,76
203,33,106
204,160,37
205,21,81
206,140,80
207,98,106
208,88,125
209,20,78
210,89,90
211,39,87
212,89,67
213,14,106
214,118,102
215,140,146
216,55,155
217,61,76
218,63,76
219,50,24
220,17,140
221,6,98
222,41,142
223,25,127
224,32,68
225,47,100
226,115,74
227,76,77
228,107,130
229,157,45
230,41,99
231,18,23
232,56,124
233,21,108
234,120,11
235,30,36
236,56,159
237,86,18
238,49,39
239,112,140
240,157,9
241,89,32
242,88,160
243,87,130
244,46,82
245,145,35
246,150,18
247,48,99
248,137,78
249,137,72
250,72,38
251,66,77
252,28,61
253,103,123
254,143,65
255,67,12
256,38,49
257,71,67
258,101,123
259,75,117
260,97,160
261,149,107
262,22,21
263,2,15
264,66,4
265,14,119
266,154,131
267,8,80
268,58,101
269,79,83
270,100,109
271,62,60
272,44,92
273,53,117
274,143,42
275,76,35
276,145,65
277,34,25
278,9,33
279,48,138
280,79,147
281,103,51
282,137,120
283,26,152
284,50,28
285,126,156
286,77,42
287,2,137
288,113,85
289,65,1
290,29,118
291,43,130
292,88,122
293,134,97
294,7,63
295,134,116
296,119,114
297,133,39
298,103,7
299,137,9
300,2,39
301,62,140
302,91,6
303,2,155
304,48,67
305,136,144
306,7,96
307,114,120
308,56,48
309,77,54
310,1,46
311,109,134
312,13,81
313,127,159
314,44,147
315,56,120
316,87,67
317,109,94
318,10,98
319,154,22
320,139,119
321,106,24
322,78,25
323,59,126
324,153,100
325,23,1
326,29,137
327,75,112
328,75,143
329,151,103
330,6,67
331,65,90
332,92,100
333,49,102
334,91,22
335,137,101
336,134,48
337,26,94
338,84,23
339,4,131
340,80,153
341,85,154
342,87,30
343,91,22
344,115,114
345,147,90
346,103,110
347,42,160
348,70,50
349,55,134
350,66,3
351,78,15
352,137,141
353,112,138
354,146,34
355,40,108
356,74,8
357,59,149
358,3,146
359,95,83
360,102,64
361,21,38
362,55,158
363,14,159
364,31,110
365,158,57
366,21,74
367,45,87
368,137,32
369,47,94
370,85,93
371,66,106
372,146,117
373,132,121
374,125,11
375,114,95
376,71,93
377,93,88
378,117,132
379,115,144
380,99,33
381,61,157
382,33,5
383,146,50
384,26,94
385,71,27
386,58,79
387,13,9
388,66,6
389,78,147
390,124,126
391,146,95
392,75,37
393,140,69
394,139,96
395,12,14
396,78,66
397,86,87
398,71,54
399,50,138
400,48,130
401,6,113
402,11,130
403,13,141
404,133,145
405,95,136
406,136,113
407,98,121
408,44,102
409,32,119
410,61,120
411,67,60
412,141,59
413,6,93
414,99,142
415,107,40
416,83,121
417,129,55
418,11,45
419,24,33
420,28,99
421,13,85
422,94,79
423,129,104
424,102,132
425,85,40
426,66,55
427,140,63
428,92,71
429,19,7
430,2,102
431,116,37
432,31,140
433,140,87
434,7,82
435,90,137
436,69,115
437,93,45
438,42,119
439,148,10
440,14,117
441,59,78
442,138,135
443,14,148
444,101,85
445,38,41
446,146,160
447,113,45
448,152,141
449,154,135
450,159,147
451,32,19
452,139,147
453,160,140
454,133,152
455,155,104
456,151,12
457,103,64
458,83,145
459,146,112
460,128,127
461,36,7
462,121,77
463,99,10
464,15,21
465,86,125
466,134,28
467,155,5
468,149,124
469,32,19
470,35,96
471,6,137
472,11,42
473,6,40
474,148,119
475,121,81
476,54,47
477,105,40
478,145,116
479,52,140
480,42,160
481,101,99
482,48,119
483,31,121
484,2,4
485,111,133
486,79,101
487,83,155
488,126,85
489,115,47
490,77,69
491,35,49
492,44,72
493,112,88
494,75,147
495,30,94
496,38,35
497,85,102
498,87,55
499,155,143
500,39,138
501,77,129
502,52,39
503,55,90
504,94,34
505,34,76
506,77,80
507,12,118
508,39,76
509,71,27
510,37,160
511,133,29
512,58,16
513,97,58
514,151,38
515,4,59
516,127,99
517,129,97
518,49,18
519,82,59
520,70,85
521,126,19
522,3,132
523,43,146
524,46,22
525,7,10
526,67,116
527,14,96
528,126,27
529,117,84
530,110,117
531,69,81
532,92,125
533,119,56
534,90,116
535,114,145
536,99,130
537,56,6
538,59,35
539,41,8
540,96,45
541,30,145
542,54,117
543,44,35
544,36,108
545,11,14
546,32,11
547,99,147
548,94,24
549,1,154
550,69,117
551,49,32
552,9,78
553,86,88
554,87,137
555,54,46
556,64,41
557,101,2
558,95,78
559,78,43
560,147,88
561,41,61
562,68,40
563,9,118
564,148,139
565,127,16
566,49,59
567,3,41
568,3,151
569,33,158
570,149,44
571,2,144
572,49,104
573,82,35
574,74,52
575,35,75
576,61,137
577,30,119
578,103,146
579,1,113
580,76,140
581,154,140
582,73,73
583,62,151
584,29,144
585,133,104
586,2,90
587,130,129
588,13,49
589,139,117
590,15,31
591,147,11
592,90,90
593,82,103
594,106,107
595,65,15
596,95,45
597,38,139
598,156,118
599,150,127
600,95,64
601,148,71
602,46,116
603,155,123
604,151,159
605,24,112
606,85,110
607,69,74
608,51,95
609,7,131
610,100,24
611,61,39
612,30,123
613,146,48
614,70,43
615,116,3
616,160,63
617,156,57
618,141,2
619,104,14
620,100,87
621,23,69
622,128,32
623,150,54
624,119,88
625,41,82
626,144,4
627,37,95
628,27,67
629,100,79
630,107,39
631,104,40
632,51,110
633,56,132
634,62,14
635,40,85
636,135,100
637,8,126
638,154,124
639,21,78
640,152,39
641,48,111
642,93,30
643,42,128
644,158,98
645,2,135
646,84,2
647,76,102
648,95,6
649,55,56
650,118,117
651,90,89
652,42,60
653,149,73
654,150,144
655,76,75
656,92,157
657,76,100
658,92,60
659,63,57
660,32,112
661,65,75
662,135,156
663,116,76
664,123,86
665,49,139
666,64,129
667,53,122
668,56,152
669,113,68
