index,values,weights
0,92,67
1,42,1
2,85,37
3,55,23
4,133,158
5,152,89
6,109,31
7,13,71
8,143,96
9,148,86
10,109,135
11,72,155
12,81,78
13,151,143
14,89,50
15,94,130
16,35,130
17,99,128
18,83,137
19,2,106
20,87,152
21,18,158
22,18,89
23,119,127
24,145,100
25,120,47
26,22,30
27,134,70
28,25,51
29,157,138
30,76,78
31,106,152
32,80,15
33,131,147
34,48,35
35,129,94
36,60,13
37,95,46
38,22,123
39,25,132
40,9,17
41,22,89
42,15,48
43,140,75
44,87,14
45,156,131
46,75,91
47,3,99
48,73,139
49,44,123
50,4,36
51,133,160
52,13,29
53,138,120
54,80,134
55,42,1
56,85,130
57,145,139
58,13,128
59,45,109
60,141,106
61,41,54
62,117,56
63,134,127
64,40,24
65,116,1
66,78,89
67,114,132
68,4,73
69,91,123
70,146,16
71,121,19
72,154,109
73,93,109
74,144,90
75,32,9
76,40,100
77,1,152
78,59,136
79,153,8
80,57,8
81,54,63
82,97,21
83,113,74
84,85,112
85,5,30
86,36,56
87,51,86
88,108,18
89,40,47
90,15,9
91,65,70
92,1,128
93,98,53
94,12,75
95,74,42
96,28,9
97,68,27
98,69,94
99,56,53
100,128,46
101,38,157
102,48,104
103,107,29
104,92,96
105,124,107
106,103,115
107,30,121
108,143,80
109,18,160
110,102,99
111,74,129
112,52,101
113,17,153
114,101,156
115,29,112
116,11,130
117,22,150
118,61,131
119,5,56
120,122,99
121,25,61
122,93,91
123,157,133
124,87,22
125,6,94
126,147,89
127,116,98
128,78,68
129,66,105
130,52,110
131,124,113
132,2,132
133,108,28
134,157,64
135,106,84
136,101,2
137,100,69
138,15,103
139,124,46
140,16,120
141,101,141
142,9,53
143,52,110
144,100,102
145,97,160
146,63,32
147,119,95
148,148,110
149,59,55
150,145,112
151,113,7
152,111,57
153,116,56
154,117,4
155,55,88
156,94,110
157,106,143
158,84,113
159,32,60
160,84,70
161,133,91
162,154,113
163,66,64
164,157,50
165,4,124
166,85,104
167,46,10
168,10,61
169,69,68
170,64,139
171,121,130
172,151,37
173,123,139
174,52,11
175,43,113
176,158,74
177,43,73
178,112,105
179,112,5
180,11,72
181,52,1
182,27,43
183,18,117
184,151,39
185,98,29
186,141,69
187,128,5
188,132,108
189,74,109
190,6,94
191,77,120
192,92,101
193,14,149
194,105,107
195,70,145
196,51,5
197,7,67
198,144,8
199,70,54
200,3,125
201,38,79
202,108,84
203,150,113
204,110,57
205,104,1
206,89,8
207,48,146
208,59,151
209,158,82
210,76,54
211,66,116
212,137,116
213,3,78
214,53,74
215,137,8
216,73,85
217,41,74
218,55,139
219,4,89
220,33,48
221,53,68
222,153,54
223,67,72
224,149,18
225,35,34
226,21,142
227,112,48
228,44,146
229,5,55
230,28,158
231,47,125
232,83,83
233,109,60
234,122,7
235,106,48
236,34,25
237,151,3
238,84,59
239,129,132
240,88,129
241,116,99
242,82,138
243,80,20
244,57,111
245,82,58
246,115,60
247,144,54
248,46,81
249,111,20
250,121,52
251,24,123
252,30,68
253,47,4
254,44,149
255,36,16
256,42,115
257,52,118
258,42,51
259,119,8
260,23,13
261,154,80
262,158,41
263,74,36
264,35,44
265,88,51
266,157,2
267,58,62
268,83,21
269,148,36
270,99,144
271,149,56
272,27,114
273,52,102
274,63,67
275,125,15
276,128,159
277,150,128
278,11,117
279,146,99
280,139,141
281,100,156
282,77,38
283,139,51
284,98,91
285,135,109
286,117,66
287,18,49
288,34,64
289,94,132
290,99,159
291,146,5
292,132,117
293,43,41
294,21,59
295,133,18
296,147,136
297,112,103
298,126,81
299,39,91
300,132,39
301,44,80
302,23,47
303,68,31
304,108,113
305,57,136
306,54,130
307,114,119
308,119,106
309,97,103
310,150,41
311,94,118
312,93,66
313,75,48
314,7,160
315,27,84
316,36,15
317,29,36
318,142,102
319,59,141
320,84,70
321,19,157
322,73,33
323,29,150
324,14,150
325,140,144
326,102,156
327,94,137
328,139,133
329,144,154
330,106,149
331,51,69
332,128,21
333,81,49
334,8,135
335,14,24
336,87,75
337,76,131
338,156,85
339,139,68
340,139,122
341,98,30
342,10,129
343,74,21
344,151,151
345,56,107
346,143,95
347,28,111
348,11,20
349,109,99
350,119,102
351,33,56
352,13,131
353,135,44
354,139,130
355,101,40
356,135,144
357,153,52
358,99,30
359,10,79
360,10,156
361,142,134
362,151,104
363,82,23
364,80,13
365,154,107
366,64,146
367,40,160
368,33,110
369,68,151
370,53,3
371,90,44
372,83,137
373,87,99
374,91,6
375,50,9
376,15,133
377,66,129
378,9,81
379,124,107
380,51,23
381,50,95
382,107,121
383,44,25
384,151,34
385,144,5
386,15,160
387,143,137
388,113,79
389,112,58
390,154,68
391,64,78
392,15,28
393,115,4
394,106,41
395,5,88
396,141,24
397,160,15
398,65,73
399,54,153
400,25,153
401,118,63
402,35,116
403,71,69
404,90,48
405,159,91
406,26,139
407,5,133
408,155,54
409,20,145
410,159,42
411,113,159
412,27,76
413,45,22
414,66,98
415,57,8
416,26,81
417,126,90
418,122,109
419,129,90
420,80,6
421,61,38
422,66,21
423,53,145
424,82,27
425,121,77
426,132,33
427,65,118
428,155,69
429,112,151
430,158,141
431,128,80
432,72,135
433,43,129
434,120,64
435,111,55
436,38,59
437,159,3
438,81,136
439,54,96
440,126,10
441,143,119
442,63,35
443,128,112
444,73,128
445,31,102
446,39,95
447,123,150
448,77,1
449,72,85
450,20,26
451,77,102
452,139,99
453,131,104
454,122,8
455,99,35
456,103,2
457,87,59
458,4,152
459,18,50
460,122,19
461,153,63
462,22,124
463,97,36
464,143,157
465,48,99
466,19,62
467,116,15
468,51,27
469,28,35
470,134,62
471,27,61
472,87,120
473,138,86
474,124,156
475,64,88
476,86,55
477,105,131
478,145,27
479,154,53
480,17,37
481,93,27
482,35,65
483,131,62
484,112,8
485,11,75
486,79,74
487,90,15
488,44,43
489,67,150
490,139,44
491,65,154
492,138,68
493,124,127
494,149,131
495,118,86
496,80,58
497,141,34
498,72,102
499,104,35
500,35,109
501,17,108
502,129,108
503,43,73
504,7,108
505,104,135
506,43,36
507,15,28
508,49,86
509,14,127
510,45,57
511,19,157
512,80,133
513,101,22
514,148,1
515,135,77
516,143,85
517,87,149
518,80,103
519,11,23
520,154,73
521,4,138
522,104,49
523,61,98
524,23,88
525,71,24
526,21,46
527,11,138
528,108,68
529,138,91
530,53,132
531,38,118
532,59,82
533,109,117
534,107,15
535,21,142
536,31,62
537,48,64
538,35,37
539,120,124
540,32,156
541,109,68
542,136,119
543,64,8
544,160,2
545,116,64
546,144,27
547,145,18
548,71,79
549,157,3
550,99,159
551,22,37
552,67,115
553,20,47
554,26,45
555,38,118
556,131,129
557,28,80
558,12,13
559,120,83
560,76,34
561,102,146
562,66,12
563,76,156
564,106,64
565,138,10
566,70,5
567,155,34
568,83,99
569,74,144
570,23,131
571,151,31
572,1,70
573,65,89
574,7,136
575,158,3
576,124,43
577,117,112
578,38,119
579,61,111
580,95,60
581,35,17
582,57,121
583,59,83
584,38,95
585,47,131
586,78,137
587,104,27
588,49,122
589,141,26
590,37,81
591,100,117
592,64,108
593,99,143
594,37,27
595,145,102
596,98,101
597,106,96
598,147,7
599,73,36
