index,values,weights
0,80,66
1,119,105
2,144,126
3,55,45
4,18,28
5,94,107
6,125,141
7,104,157
8,138,78
9,159,32
10,45,63
11,3,11
12,149,56
13,10,155
14,92,160
15,92,92
16,36,47
17,56,136
18,27,137
19,22,2
20,75,128
21,112,98
22,29,83
23,122,149
24,92,66
25,159,15
26,9,113
27,17,47
28,153,128
29,48,142
30,93,78
31,151,24
32,110,158
33,49,37
34,54,91
35,47,88
36,84,111
37,150,115
38,117,97
39,156,88
40,82,125
41,127,26
42,115,5
43,43,98
44,15,112
45,27,68
46,72,48
47,3,156
48,115,54
49,95,80
50,156,102
51,124,116
52,2,85
53,24,39
54,137,41
55,105,44
56,144,73
57,90,146
58,78,4
59,147,100
60,9,7
61,145,81
62,54,96
63,7,158
64,157,158
65,25,135
66,138,132
67,94,37
68,54,156
69,112,53
70,31,46
71,101,87
72,108,139
73,142,114
74,109,56
75,6,53
76,79,22
77,52,147
78,86,111
79,40,134
80,78,44
81,33,94
82,143,125
83,56,121
84,97,106
85,37,25
86,158,86
87,43,43
88,76,159
89,13,6
90,129,57
91,4,57
92,83,71
93,46,151
94,12,130
95,118,44
96,35,90
97,106,96
98,50,104
99,154,30
100,18,53
101,21,27
102,150,127
103,129,127
104,93,51
105,51,39
106,78,109
107,116,49
108,31,115
109,128,115
110,95,139
111,134,64
112,55,157
113,137,125
114,146,44
115,128,50
116,95,54
117,24,16
118,90,21
119,142,21
120,150,95
121,122,117
122,86,139
123,44,5
124,100,138
125,120,78
126,96,49
127,3,29
128,39,26
129,135,10
130,99,23
131,58,18
132,112,58
133,37,152
134,66,147
135,36,43
136,113,87
137,31,84
138,153,159
139,96,28
140,59,18
141,78,101
142,20,29
143,49,144
144,72,127
145,24,152
146,36,3
147,96,109
148,155,141
149,91,33
150,97,125
151,11,40
152,23,100
153,136,149
154,93,109
155,86,48
156,63,44
157,19,35
158,94,90
159,10,62
160,42,38
161,138,113
162,34,159
163,36,158
164,21,20
165,67,154
166,66,24
167,42,105
168,91,135
169,2,112
170,30,124
171,109,146
172,47,128
173,99,25
174,130,110
175,67,106
176,43,115
177,2,126
178,16,6
179,10,6
180,126,50
181,12,87
182,114,98
183,57,19
184,69,11
185,95,41
186,133,20
187,7,82
188,154,97
189,24,67
190,159,18
191,5,44
192,150,56
193,152,65
194,30,19
195,90,124
196,79,51
197,24,112
198,72,7
199,63,114
200,61,130
201,91,43
202,66,28
203,151,78
204,80,41
205,159,138
206,15,54
207,22,151
208,65,90
209,41,8
210,156,87
211,71,122
212,39,81
213,147,122
214,128,116
215,13,77
216,44,109
217,28,33
218,69,123
219,114,46
220,63,59
221,117,143
222,53,114
223,17,105
224,70,9
225,60,5
226,135,133
227,7,139
228,13,11
229,23,40
230,57,132
231,61,66
232,80,21
233,159,117
234,117,49
235,39,103
236,30,45
237,1,128
238,43,91
239,38,83
240,109,106
241,148,23
242,6,52
243,103,58
244,113,158
245,73,118
246,115,54
247,15,21
248,97,147
249,106,16
250,23,47
251,72,91
252,129,2
253,62,136
254,19,153
255,156,52
256,78,75
257,84,109
258,137,65
259,87,134
260,42,56
261,47,102
262,116,73
263,54,139
264,151,156
265,42,77
266,43,102
267,145,26
268,147,87
269,107,19
270,150,123
271,129,21
272,92,150
273,140,14
274,66,102
275,89,118
276,10,160
277,155,104
278,65,145
279,60,52
280,2,98
281,3,16
282,17,117
283,114,54
284,107,8
285,28,149
286,45,150
287,44,85
288,103,114
289,121,90
290,114,42
291,61,12
292,45,137
293,33,77
294,100,62
295,88,85
296,43,51
297,158,83
298,155,117
299,89,53
