index,values,weights
0,85,50
1,96,42
2,148,127
3,2,8
4,58,10
5,146,152
6,49,69
7,122,30
8,121,3
9,112,56
10,87,44
11,14,34
12,115,112
13,152,24
14,78,24
15,154,64
16,107,107
17,11,109
18,112,47
19,122,33
20,147,7
21,153,68
22,1,76
23,142,109
24,120,101
25,66,117
26,44,116
27,54,135
28,49,124
29,95,73
30,59,103
31,68,128
32,83,47
33,90,22
34,125,73
35,16,27
36,1,133
37,18,27
38,57,61
39,121,99
40,97,49
41,34,91
42,8,108
43,125,9
44,88,12
45,159,106
46,132,88
47,27,51
48,7,71
49,56,5
50,99,155
51,104,9
52,105,103
53,40,130
54,33,98
55,50,44
56,118,14
57,38,3
58,92,96
59,133,69
60,103,21
61,112,27
62,124,96
63,26,37
64,94,34
65,127,75
66,99,160
67,128,27
68,53,137
69,82,135
70,156,103
71,152,4
72,62,44
73,133,12
74,9,78
75,64,44
76,121,102
77,52,95
78,146,100
79,92,113
80,56,82
81,80,97
82,51,86
83,118,44
84,65,159
85,126,102
86,71,96
87,34,22
88,120,100
89,108,77
90,106,27
91,118,25
92,127,12
93,78,156
94,150,122
95,56,58
96,153,151
97,115,102
98,103,43
99,145,40
100,88,75
101,60,45
102,29,148
103,35,51
104,143,136
105,128,71
106,98,102
107,126,30
108,23,60
109,56,55
110,45,57
111,128,129
112,7,144
113,33,139
114,18,136
115,36,11
116,150,66
117,117,80
118,8,158
119,150,142
120,143,26
121,141,87
122,46,19
123,32,57
124,150,73
125,101,122
126,152,38
127,83,72
128,76,114
129,137,149
130,125,78
131,45,3
132,37,101
133,50,76
134,40,87
135,44,77
136,90,98
137,101,58
138,64,142
139,121,9
140,100,75
141,121,45
142,68,72
143,141,115
144,100,15
145,78,155
146,64,85
147,100,51
148,95,148
149,60,140
150,34,12
151,113,31
152,108,160
153,139,150
154,4,124
155,51,17
156,11,123
157,136,93
158,17,23
159,114,46
160,81,93
161,17,28
162,56,106
163,6,85
164,5,148
165,37,109
166,15,86
167,146,116
168,41,103
169,90,61
170,27,160
171,111,142
172,84,42
173,14,26
174,90,27
175,31,55
176,106,135
177,76,121
178,24,17
179,42,95
180,112,160
181,80,57
182,5,135
183,35,1
184,4,87
185,88,64
186,147,45
187,135,37
188,66,109
189,40,14
190,36,32
191,97,124
192,127,112
193,12,135
194,153,58
195,117,76
196,77,18
197,77,9
198,94,6
199,104,118
200,111,160
201,145,60
202,152,133
203,36,74
204,158,128
205,136,44
206,26,149
207,38,120
208,113,45
209,112,78
210,158,146
211,39,52
212,121,68
213,25,59
214,17,111
215,138,127
216,26,107
217,93,153
218,120,61
219,110,92
220,133,43
221,88,64
222,76,46
223,6,115
224,64,128
225,83,47
226,57,75
227,102,50
228,27,1
229,23,153
230,46,78
231,8,59
232,110,64
233,9,145
234,68,21
235,125,85
236,119,62
237,18,131
238,94,109
239,142,25
240,11,31
241,10,138
242,99,54
243,23,152
244,105,132
245,87,79
246,50,128
247,40,139
248,150,57
249,143,46
250,17,85
251,86,91
252,158,77
253,45,71
254,11,138
255,135,96
256,24,136
257,68,61
258,66,48
259,25,159
260,120,42
261,63,82
262,30,127
263,52,42
264,47,91
265,5,31
266,133,112
267,23,155
268,95,148
269,85,29
270,151,56
271,95,39
272,57,52
273,127,70
274,130,87
275,7,6
276,51,75
277,74,130
278,79,125
279,1,145
280,103,43
281,36,25
282,8,31
283,99,53
284,84,33
285,93,28
286,50,77
287,40,50
288,62,22
289,127,31
290,160,89
291,143,66
292,89,37
293,25,140
294,133,106
295,70,34
296,116,57
297,107,7
298,57,86
299,74,33
300,52,11
301,160,50
302,40,45
303,20,156
304,77,57
305,142,95
306,60,19
307,46,9
308,124,73
309,49,139
310,1,14
311,149,19
312,43,153
313,59,54
314,92,8
315,39,59
316,58,88
317,147,54
318,135,40
319,14,147
320,54,100
321,55,91
322,42,26
323,116,63
324,88,112
325,101,107
326,134,132
327,19,60
328,63,79
329,125,152
330,134,96
331,112,47
332,113,19
333,115,20
334,125,89
335,34,60
336,96,1
337,28,16
338,18,77
339,41,113
340,5,123
341,32,80
342,136,63
343,64,33
344,49,152
345,149,31
346,4,107
347,14,155
348,93,142
349,146,152
350,42,107
351,7,88
352,47,106
353,113,137
354,7,124
355,109,22
356,149,1
357,39,113
358,145,137
359,106,5
360,46,71
361,147,57
362,48,117
363,51,102
364,117,23
365,19,67
366,19,154
367,105,30
368,124,73
369,56,126
370,45,80
371,118,98
372,112,90
373,140,20
374,110,136
375,7,30
376,104,82
377,69,140
378,92,80
379,119,25
380,83,64
381,122,147
382,47,33
383,51,91
384,5,23
385,102,144
386,64,7
387,66,43
388,61,150
389,159,153
390,70,21
391,68,64
392,55,15
393,26,95
394,111,98
395,123,103
396,121,132
397,109,145
398,54,117
399,83,20
400,50,93
401,130,82
402,17,98
403,148,155
404,92,112
405,121,110
406,116,64
407,153,8
408,30,149
409,20,50
410,43,88
411,153,83
412,36,73
413,132,53
414,139,94
415,62,27
416,47,123
417,132,136
418,114,72
419,89,71
420,117,137
421,98,92
422,12,20
423,148,32
424,21,123
425,29,154
426,22,137
427,11,9
428,38,54
429,156,26
430,78,93
431,81,103
432,57,97
433,10,17
434,31,4
435,98,28
436,2,130
437,129,35
438,155,91
439,39,44
440,141,115
441,41,113
442,112,139
443,39,35
444,154,81
445,110,87
446,74,122
447,86,141
448,149,38
449,15,145
450,128,65
451,27,129
452,117,72
453,79,145
454,145,58
455,56,158
456,125,77
457,47,95
458,145,33
459,143,112
460,123,100
461,41,120
462,117,34
463,75,21
464,31,72
465,131,128
466,121,1
467,48,19
468,17,134
469,52,9
470,79,39
471,131,52
472,19,65
473,86,74
474,21,40
475,113,147
476,85,22
477,10,100
478,80,152
479,143,77
480,2,11
481,75,144
482,7,18
483,158,97
484,35,78
485,26,21
486,104,85
487,13,133
488,137,2
489,151,43
490,43,16
491,54,134
492,111,52
493,76,153
494,154,33
495,5,52
496,130,58
497,59,98
498,28,43
499,158,91
