index,values,weights
0,59,77
1,160,135
2,100,121
3,25,156
4,19,69
5,78,143
6,19,71
7,83,105
8,70,67
9,84,144
10,14,22
11,66,2
12,130,16
13,139,70
14,135,71
15,22,137
16,88,87
17,155,29
18,18,37
19,33,88
20,2,36
21,51,54
22,95,121
23,133,104
24,160,32
25,36,151
26,7,71
27,42,65
28,30,83
29,145,16
30,5,24
31,83,28
32,113,1
33,105,82
34,150,121
35,68,18
36,76,61
37,5,120
38,106,113
39,37,47
40,26,79
41,22,100
42,150,23
43,74,22
44,37,52
45,92,34
46,138,70
47,122,65
48,82,50
49,130,45
50,155,22
51,79,33
52,134,54
53,157,50
54,27,47
55,75,112
56,129,39
57,93,96
58,156,54
59,52,117
60,129,52
61,72,158
62,128,67
63,32,26
64,16,109
65,21,116
66,88,155
67,134,126
68,46,57
69,116,7
70,154,132
71,116,104
72,105,150
73,62,26
74,126,111
75,115,130
76,155,28
77,30,147
78,84,82
79,27,21
80,137,57
81,153,7
82,85,62
83,96,159
84,35,115
85,158,36
86,49,26
87,112,46
88,69,7
89,47,50
90,38,136
91,125,135
92,129,111
93,120,103
94,29,143
95,69,117
96,67,103
97,137,38
98,154,78
99,74,133
100,153,81
101,18,39
102,157,26
103,65,40
104,111,101
105,96,129
106,39,15
107,143,49
108,14,70
109,32,127
110,26,153
111,94,57
112,122,21
113,86,41
114,114,19
115,69,124
116,62,3
117,131,151
118,145,4
119,138,152
120,2,119
121,69,50
122,157,19
123,94,90
124,109,109
125,44,117
126,114,126
127,114,123
128,87,108
129,91,2
130,86,40
131,65,81
132,152,16
133,68,78
134,103,76
135,107,62
136,22,40
137,20,83
138,84,131
139,80,86
140,151,68
141,3,155
142,25,49
143,18,93
144,74,93
145,148,136
146,1,56
147,73,142
148,43,130
149,62,34
150,82,16
151,133,2
152,77,71
153,35,64
154,21,64
155,158,18
156,33,125
157,147,71
158,150,82
159,76,81
160,139,92
161,21,157
162,144,75
163,70,73
164,2,147
165,56,151
166,34,83
167,3,104
168,22,127
169,157,13
170,68,144
171,13,65
172,61,131
173,28,126
174,121,129
175,48,65
176,40,111
177,124,132
178,85,117
179,11,123
180,48,14
181,83,16
182,39,35
183,130,154
184,64,20
185,82,30
186,150,127
187,160,86
188,75,40
189,125,87
190,15,121
191,154,25
192,72,23
193,50,70
194,58,10
195,97,63
196,43,9
197,160,98
198,65,125
199,60,17
200,38,99
201,79,94
202,128,119
203,116,145
204,132,30
205,21,23
206,36,126
207,58,41
208,59,143
209,158,159
210,119,61
211,91,122
212,139,141
213,128,102
214,140,12
215,40,61
216,62,74
217,98,139
218,26,147
219,42,77
220,133,139
221,35,97
222,154,1
223,84,149
224,124,65
225,114,115
226,141,14
227,51,92
228,159,80
229,82,153
230,79,142
231,147,45
232,135,62
233,52,31
234,140,47
235,78,59
236,61,80
237,24,35
238,160,63
239,2,138
240,104,112
241,55,98
242,77,75
243,51,43
244,21,141
245,35,70
246,41,4
247,75,42
248,143,149
249,123,69
250,25,63
251,118,146
252,49,13
253,152,107
254,51,12
255,68,117
256,150,150
257,153,144
258,74,81
259,37,51
260,21,78
261,33,152
262,14,91
263,94,13
264,134,133
265,37,42
266,45,132
267,19,104
268,53,7
269,88,16
270,17,49
271,66,3
272,45,160
273,22,84
274,67,64
275,34,10
276,35,71
277,9,124
278,98,126
279,129,124
280,14,64
281,9,120
282,20,64
283,74,63
284,85,63
285,85,124
286,90,11
287,119,23
288,118,8
289,104,113
290,119,19
291,36,78
292,149,109
293,107,85
294,144,27
295,58,88
296,120,92
297,139,119
298,55,9
299,7,122
300,123,21
301,71,74
302,146,136
303,50,109
304,88,78
305,68,80
306,72,95
307,6,152
308,90,141
309,126,155
310,105,73
311,135,50
312,12,145
313,6,9
314,32,15
315,142,137
316,76,33
317,156,13
318,154,114
319,12,22
320,79,43
321,60,50
322,145,116
323,73,38
324,4,39
325,4,143
326,71,127
327,88,23
328,4,10
329,57,108
330,84,80
331,138,86
332,111,81
333,92,109
334,89,85
335,78,87
336,154,125
337,125,73
338,13,74
339,50,103
340,25,26
341,18,87
342,160,91
343,121,57
344,136,123
345,159,19
346,118,13
347,97,76
348,82,22
349,158,38
350,88,103
351,102,86
352,74,27
353,61,4
354,11,78
355,79,13
356,14,7
357,130,59
358,156,61
359,21,38
360,87,55
361,86,98
362,19,56
363,99,115
364,119,6
365,24,116
366,80,5
367,78,146
368,112,133
369,81,160
370,120,137
371,76,43
372,45,17
373,155,91
374,14,152
375,103,56
376,87,19
377,136,17
378,94,24
379,31,123
380,80,39
381,158,43
382,146,5
383,130,88
384,102,53
385,83,156
386,29,45
387,64,144
388,105,1
389,1,84
390,88,157
391,11,89
392,94,77
393,57,153
394,98,80
395,34,55
396,117,135
397,132,65
398,30,90
399,94,65
400,154,41
401,142,13
402,4,34
403,62,12
404,82,71
405,153,134
406,4,68
407,27,54
408,59,15
409,139,103
410,50,79
411,154,77
412,126,96
413,74,157
414,25,13
415,159,39
416,56,67
417,37,138
418,1,140
419,103,72
420,14,17
421,14,36
422,157,157
423,44,134
424,151,100
425,75,10
426,49,92
427,100,27
428,160,2
429,80,124
430,113,132
431,69,149
432,98,36
433,114,148
434,153,52
435,49,40
436,14,25
437,118,66
438,87,61
439,144,142
440,77,87
441,126,28
442,140,149
443,9,12
444,15,18
445,66,27
446,107,4
447,34,103
448,61,75
449,122,34
450,14,156
451,97,62
452,48,27
453,46,36
454,59,26
455,137,78
456,93,15
457,8,65
458,64,133
459,36,104
460,46,23
461,134,91
462,89,65
463,34,105
464,71,37
465,47,37
466,125,98
467,21,55
468,27,118
469,123,84
470,71,67
471,36,137
472,3,137
473,157,25
474,73,74
475,70,71
476,159,33
477,67,144
478,159,86
479,17,33
480,9,138
481,53,99
482,150,93
483,9,55
484,62,29
485,39,23
486,99,139
487,42,110
488,4,81
489,64,45
490,106,90
491,92,16
492,83,98
493,96,79
494,60,13
495,111,98
496,116,60
497,82,57
498,31,24
499,156,47
500,4,9
501,123,78
502,76,153
