index,values,weights
0,113,89
1,73,8
2,71,120
3,96,62
4,149,4
5,154,41
6,36,60
7,49,155
8,148,97
9,136,132
10,146,32
11,85,1
12,4,26
13,154,136
14,12,82
15,156,15
16,9,66
17,18,81
18,113,52
19,134,11
20,93,47
21,60,67
22,40,141
23,3,52
24,155,17
25,151,41
26,135,84
27,29,35
28,146,150
29,96,9
30,135,84
31,1,68
32,18,62
33,73,16
34,119,4
35,51,74
36,139,25
37,142,102
38,125,113
39,88,147
40,106,5
41,117,52
42,3,84
43,112,24
44,129,39
45,82,122
46,140,149
47,158,148
48,19,28
49,30,72
50,21,86
51,76,10
52,128,20
53,65,121
54,45,69
55,138,158
56,23,121
57,139,88
58,16,28
59,156,7
60,102,19
61,130,45
62,98,134
63,45,40
64,52,1
65,5,85
66,131,17
67,38,64
68,56,74
69,49,21
70,120,116
71,25,60
72,83,111
73,151,74
74,73,11
75,33,159
76,17,5
77,28,153
78,149,147
79,110,51
80,40,65
81,130,138
82,42,134
83,16,57
84,124,104
85,24,143
86,80,150
87,114,132
88,129,102
89,82,102
90,152,52
91,80,25
92,85,135
93,112,138
94,5,158
95,152,102
96,159,64
97,66,27
98,118,158
99,101,118
100,67,147
101,62,73
102,78,114
103,60,48
104,150,84
105,124,77
106,153,102
107,5,106
108,46,20
109,69,53
110,130,89
111,140,106
112,5,155
113,118,28
114,58,18
115,122,36
116,160,134
117,102,67
118,62,104
119,33,150
120,127,117
121,19,77
122,68,149
123,115,75
124,69,79
125,137,44
126,9,112
127,48,103
128,102,15
129,63,127
130,15,24
131,123,51
132,26,27
133,112,90
134,112,111
135,58,138
136,139,145
137,49,142
138,30,15
139,102,154
140,101,160
141,22,106
142,156,37
143,127,140
144,149,95
145,110,157
146,19,32
147,101,66
148,132,116
149,52,113
150,140,15
151,119,41
152,10,15
153,42,34
154,53,147
155,43,10
156,96,90
157,140,38
158,135,62
159,112,38
160,42,154
161,66,139
162,73,62
163,36,104
164,60,144
165,125,101
166,63,42
167,125,33
168,43,84
169,72,88
170,7,103
171,42,26
172,61,33
173,56,4
174,20,108
175,160,99
176,96,23
177,88,16
178,19,21
179,46,59
180,127,133
181,148,63
182,13,22
183,70,149
184,115,17
185,56,81
186,50,109
187,92,144
188,154,111
189,87,121
190,59,41
191,81,67
192,68,18
193,147,130
194,76,141
195,92,11
196,44,6
197,86,75
198,71,16
199,70,97
200,80,107
201,151,95
202,116,50
203,139,34
204,145,7
205,115,42
206,67,20
207,51,76
208,37,101
209,104,43
210,108,67
211,120,154
212,11,84
213,10,147
214,27,55
215,51,39
216,77,17
217,118,64
218,66,30
219,61,133
220,131,97
221,27,63
222,110,87
223,61,60
224,149,96
225,48,69
226,116,157
227,91,117
228,129,115
229,96,129
230,106,106
231,80,112
232,62,157
233,137,103
234,152,21
235,28,135
236,140,133
237,69,140
238,14,81
239,98,95
240,36,117
241,89,131
242,88,89
243,19,16
244,136,82
245,130,100
246,42,149
247,28,12
248,154,110
249,8,114
250,155,152
251,56,150
252,160,123
253,83,141
254,107,49
255,114,144
256,103,69
257,21,37
258,104,53
259,74,83
260,146,64
261,80,70
262,83,148
263,1,44
264,48,28
265,26,79
266,136,73
267,123,92
268,73,113
269,97,32
270,89,107
271,32,92
272,103,140
273,155,149
274,144,88
275,123,111
276,4,49
277,57,141
278,80,125
279,74,39
280,23,136
281,156,154
282,20,148
283,37,63
284,13,122
285,33,62
286,4,62
287,21,118
288,117,8
289,59,23
290,121,82
291,24,20
292,74,64
293,88,108
294,17,60
295,86,39
296,115,34
297,107,53
298,53,48
299,38,17
300,6,133
301,83,75
302,159,131
303,32,84
304,126,78
305,7,148
306,83,147
307,52,110
308,70,50
309,4,116
310,51,123
311,2,121
312,150,99
313,111,22
314,135,153
315,120,101
316,15,53
317,7,51
318,104,144
319,98,78
320,124,41
321,158,160
322,153,160
323,67,12
324,132,49
325,2,15
326,141,45
327,94,5
328,141,88
329,106,64
330,128,103
331,104,149
332,118,156
333,127,87
334,159,142
335,88,148
336,41,94
337,39,69
338,155,157
339,123,58
340,54,88
341,40,156
342,100,141
343,95,71
344,48,7
345,156,57
346,135,35
347,143,11
348,55,35
349,151,108
350,5,145
351,4,33
352,101,1
353,20,133
354,77,26
355,84,95
356,64,43
357,67,89
358,66,38
359,38,58
360,65,34
361,81,151
362,112,38
363,123,6
364,112,56
365,122,102
366,69,23
367,11,130
368,55,6
369,42,53
370,154,98
371,60,160
372,73,64
373,91,91
374,156,57
375,140,99
376,125,142
377,113,87
378,74,80
379,115,102
380,133,159
381,68,142
382,116,119
383,49,82
384,26,23
385,156,115
386,15,23
387,77,90
388,75,81
389,8,115
390,22,45
391,115,39
392,57,138
393,156,50
394,77,116
395,148,35
396,42,1
397,136,46
398,135,97
399,35,72
400,94,69
401,18,16
402,46,100
403,77,120
404,112,68
405,68,136
406,21,68
407,141,7
408,78,82
409,49,80
410,30,21
411,47,68
412,75,26
413,72,116
414,4,19
415,42,122
416,61,80
417,151,132
418,104,132
419,33,159
420,10,74
421,66,97
422,125,122
423,154,117
424,67,64
425,154,153
426,78,160
427,90,65
428,135,31
429,138,141
430,100,1
431,46,44
432,39,91
433,4,130
434,5,129
435,118,47
436,105,76
437,79,112
438,94,126
439,97,72
440,66,112
441,6,110
442,134,115
443,71,68
444,14,54
445,10,27
446,29,5
447,16,121
448,142,104
449,123,86
450,119,104
451,69,8
452,103,41
453,102,140
454,107,144
455,80,20
456,144,71
457,80,57
458,142,150
459,72,3
460,129,97
461,72,94
462,11,98
463,111,107
464,134,54
465,22,121
466,1,104
467,140,104
468,57,135
469,98,95
470,61,37
471,9,3
472,46,120
473,53,153
474,146,51
475,96,105
476,30,141
477,105,16
478,71,30
479,143,27
480,65,33
481,49,157
482,15,149
483,151,4
484,143,24
485,58,69
486,119,50
487,78,25
488,139,18
489,145,67
490,65,44
491,13,43
492,67,152
493,112,46
494,5,45
495,137,51
496,158,87
497,23,42
498,69,64
499,158,11
500,148,107
501,93,15
502,35,107
503,41,155
504,151,93
505,13,15
506,113,80
507,16,35
508,128,148
509,88,6
510,74,47
511,66,24
512,56,73
513,4,156
514,147,158
515,30,104
516,57,131
517,59,66
518,66,123
519,121,137
520,11,97
521,152,90
522,100,102
523,35,118
524,160,58
525,98,105
526,111,126
527,160,103
528,63,40
529,159,106
530,75,44
531,122,34
532,150,110
533,127,156
534,23,65
535,61,52
536,32,103
537,139,44
538,34,95
539,42,76
540,55,38
541,23,156
542,132,43
543,95,90
544,91,46
545,127,61
546,115,59
547,150,94
548,71,22
549,120,41
550,151,8
551,37,124
552,91,158
553,32,73
554,72,86
555,107,142
556,84,97
557,154,50
558,137,151
559,11,114
560,97,36
561,61,36
562,120,66
563,157,143
564,19,133
565,57,45
566,134,126
567,2,10
568,21,115
569,152,34
570,90,111
571,91,39
572,88,43
573,38,27
574,84,145
575,110,96
576,98,51
577,11,63
578,83,103
579,136,71
580,66,47
581,5,99
582,158,79
583,128,84
584,137,100
585,37,1
586,40,80
587,134,38
588,23,13
589,139,117
590,76,40
591,42,125
592,25,111
593,145,7
594,4,99
595,17,83
596,116,33
597,62,148
598,136,16
599,33,112
600,86,158
601,101,88
602,157,45
603,18,101
604,40,5
605,153,56
606,62,153
607,51,11
608,21,28
609,54,98
610,46,56
611,48,47
612,31,62
613,153,97
614,120,99
615,136,11
616,10,59
617,116,44
618,107,160
619,74,152
620,124,130
621,98,108
622,139,99
623,77,30
624,129,135
625,160,124
626,137,58
627,126,39
628,124,38
629,97,68
630,81,131
631,81,11
632,98,89
633,43,148
634,150,159
635,115,69
636,68,3
637,37,114
638,79,59
639,58,37
640,120,107
641,134,158
642,13,87
643,111,116
644,67,83
645,133,72
646,43,107
647,82,95
648,69,109
649,128,121
650,98,88
651,20,136
652,91,107
653,42,88
654,149,86
655,156,154
656,6,30
657,47,33
658,135,125
659,87,153
660,85,157
661,90,95
662,26,145
663,93,151
664,36,144
665,114,54
666,29,150
667,80,77
668,104,151
669,151,10
670,45,39
671,84,5
672,111,9
673,133,54
674,74,43
675,104,34
676,85,31
677,156,64
678,28,49
679,110,143
680,154,121
681,141,65
682,26,125
683,96,94
684,156,121
685,75,19
686,58,120
687,76,24
688,40,58
689,154,126
690,1,69
691,147,130
692,51,24
693,99,61
694,58,114
695,38,48
696,85,22
697,35,43
698,117,137
699,52,95
700,56,76
701,42,160
702,99,44
703,86,133
704,72,63
705,148,31
706,89,53
707,121,107
708,96,72
709,38,90
710,154,28
711,90,15
712,85,154
713,100,100
714,45,71
715,60,76
716,96,22
717,77,82
718,136,159
719,37,127
720,156,55
721,87,116
722,22,118
723,133,116
724,69,48
725,106,140
726,139,62
727,68,145
728,107,152
729,56,125
730,87,151
731,33,70
732,37,150
733,39,118
734,86,153
735,150,46
736,65,29
737,5,67
738,31,29
739,66,9
740,103,118
741,55,64
742,57,102
743,17,71
744,128,125
745,80,43
746,30,10
747,58,13
748,112,53
749,12,56
750,30,18
751,17,148
752,150,88
753,39,77
754,145,128
755,38,136
756,24,32
757,32,151
758,159,28
759,93,157
760,144,54
761,60,74
762,52,140
763,61,69
764,50,57
765,155,112
766,137,127
767,124,132
768,107,129
769,110,38
770,101,56
771,121,79
772,49,116
773,64,20
774,80,114
775,131,73
776,13,25
777,57,82
778,141,123
779,35,86
780,118,94
781,94,123
782,128,57
783,58,128
784,52,47
785,65,159
786,39,108
787,35,106
788,39,114
789,138,15
790,126,107
791,110,56
792,79,47
793,127,35
794,131,125
795,25,6
796,36,142
797,136,89
798,9,37
799,36,137
